active,direction,when
BTCUSD,UP,06/01/22 08:25:01
USDJPY,DOWN,06/01/22 08:32:31
USDJPY,DOWN,06/01/22 08:33:01
USDJPY,DOWN,06/01/22 08:33:31
GBPUSD,UP,06/01/22 08:36:00
EURUSD,UP,06/01/22 08:39:31
EURUSD,UP,06/01/22 08:40:00
EURUSD,UP,06/01/22 08:40:30
GBPUSD,UP,06/01/22 08:41:00
EURUSD,UP,06/01/22 08:41:01
GBPUSD,UP,06/01/22 08:41:31
EURUSD,UP,06/01/22 08:41:31
GBPUSD,UP,06/01/22 08:42:00
EURUSD,UP,06/01/22 08:42:00
GBPUSD,UP,06/01/22 08:42:31
EURUSD,UP,06/01/22 08:42:31
EURUSD,UP,06/01/22 08:45:31
USDJPY,DOWN,06/01/22 08:49:01
BTCUSD,UP,06/01/22 08:53:02
GBPUSD,UP,06/01/22 08:53:31
USDJPY,UP,06/01/22 08:54:01
USDJPY,UP,06/01/22 08:54:31
USDJPY,UP,06/01/22 08:55:01
GBPUSD,DOWN,06/01/22 08:59:01
EURUSD,DOWN,06/01/22 08:59:01
GBPUSD,DOWN,06/01/22 08:59:31
BTCUSD,DOWN,06/01/22 09:03:01
BTCUSD,DOWN,06/01/22 09:03:31
EURUSD,DOWN,06/01/22 09:07:31
USDCHF,UP,06/01/22 09:07:31
USDJPY,DOWN,06/01/22 09:08:31
EURUSD,DOWN,06/01/22 09:13:31
USDCHF,UP,06/01/22 09:26:31
GBPUSD,UP,06/01/22 09:34:31
USDCHF,DOWN,06/01/22 09:38:32
GBPUSD,DOWN,06/01/22 09:44:32
GBPUSD,DOWN,06/01/22 09:45:01
GBPUSD,DOWN,06/01/22 09:45:31
USDJPY,UP,06/01/22 09:48:32
USDJPY,UP,06/01/22 09:49:01
EURUSD,DOWN,06/01/22 09:49:01
EURUSD,DOWN,06/01/22 09:49:31
EURUSD,DOWN,06/01/22 09:50:02
EURUSD,DOWN,06/01/22 09:50:31
USDCHF,UP,06/01/22 11:04:31
USDCHF,UP,06/01/22 11:05:01
USDCHF,UP,06/01/22 11:16:01
USDCHF,DOWN,06/01/22 11:33:01
USDCHF,DOWN,06/01/22 11:33:31
USDCHF,UP,06/01/22 11:58:02
USDCHF,UP,06/01/22 11:58:31
BTCUSD,DOWN,06/01/22 14:12:31
BTCUSD,DOWN,06/01/22 14:13:01
BTCUSD,DOWN,06/01/22 14:13:32
EURUSD,DOWN,06/01/22 14:14:01
BTCUSD,DOWN,06/01/22 14:14:01
EURUSD,DOWN,06/01/22 14:14:31
BTCUSD,DOWN,06/01/22 14:14:32
BTCUSD,DOWN,06/01/22 14:15:01
BTCUSD,DOWN,06/01/22 14:15:31
GBPUSD,UP,06/01/22 14:32:31
GBPUSD,UP,06/01/22 14:33:01
USDJPY,UP,06/01/22 14:35:31
USDJPY,UP,06/01/22 14:36:01
USDCHF,UP,06/01/22 14:36:01
USDJPY,UP,06/01/22 14:36:31
USDJPY,UP,06/01/22 14:37:01
BTCUSD,UP,06/01/22 14:39:01
BTCUSD,UP,06/01/22 14:39:31
USDJPY,UP,06/01/22 14:40:31
USDJPY,UP,06/01/22 14:41:01
USDJPY,UP,06/01/22 14:41:31
USDJPY,UP,06/01/22 14:42:01
EURUSD,DOWN,06/01/22 14:42:01
USDCHF,UP,06/01/22 14:42:01
BTCUSD,UP,06/01/22 14:44:01
EURUSD,UP,06/01/22 14:44:31
BTCUSD,UP,06/01/22 14:44:31
EURUSD,UP,06/01/22 14:45:01
EURUSD,DOWN,06/01/22 14:54:01
EURUSD,DOWN,06/01/22 14:54:31
BTCUSD,DOWN,06/01/22 19:18:03
BTCUSD,DOWN,06/01/22 19:40:01
BTCUSD,DOWN,06/01/22 19:40:31
BTCUSD,DOWN,06/01/22 19:44:01
BTCUSD,DOWN,06/01/22 19:44:31
BTCUSD,DOWN,06/01/22 19:45:01
BTCUSD,UP,06/01/22 19:51:32
BTCUSD,UP,06/01/22 19:52:01
BTCUSD,UP,06/01/22 19:52:31
BTCUSD,DOWN,06/01/22 20:20:01
EURUSD,UP,07/01/22 06:58:31
EURUSD,UP,07/01/22 06:59:00
EURUSD,DOWN,07/01/22 07:22:31
GBPUSD,UP,07/01/22 07:24:00
USDJPY,UP,07/01/22 07:28:01
USDCHF,UP,07/01/22 07:33:01
USDCHF,UP,07/01/22 07:33:31
USDCHF,UP,07/01/22 07:37:31
USDCHF,UP,07/01/22 07:44:31
USDCHF,UP,07/01/22 07:45:01
USDJPY,UP,07/01/22 07:52:01
USDJPY,UP,07/01/22 08:09:31
USDJPY,UP,07/01/22 08:10:02
USDCHF,UP,07/01/22 08:17:01
USDJPY,DOWN,07/01/22 08:19:02
USDCHF,UP,07/01/22 08:26:01
BTCUSD,UP,07/01/22 08:34:31
BTCUSD,UP,07/01/22 08:44:01
USDJPY,DOWN,07/01/22 08:52:31
USDJPY,UP,07/01/22 08:55:01
USDJPY,UP,07/01/22 08:55:31
USDCHF,UP,07/01/22 08:55:31
BTCUSD,UP,07/01/22 09:01:01
BTCUSD,UP,07/01/22 09:01:31
BTCUSD,DOWN,07/01/22 09:09:32
BTCUSD,DOWN,07/01/22 09:10:01
BTCUSD,UP,07/01/22 09:27:01
GBPUSD,UP,07/01/22 09:30:01
GBPUSD,DOWN,07/01/22 09:34:31
GBPUSD,DOWN,07/01/22 09:35:01
BTCUSD,DOWN,07/01/22 09:35:31
BTCUSD,DOWN,07/01/22 09:36:01
EURUSD,DOWN,07/01/22 09:36:01
GBPUSD,UP,07/01/22 09:51:01
GBPUSD,UP,07/01/22 09:51:31
USDCHF,UP,07/01/22 09:52:31
USDCHF,DOWN,07/01/22 09:56:31
USDJPY,UP,07/01/22 09:59:01
USDJPY,UP,07/01/22 10:05:31
GBPUSD,DOWN,07/01/22 10:06:01
USDJPY,UP,07/01/22 10:06:01
GBPUSD,UP,07/01/22 10:19:31
GBPUSD,UP,07/01/22 10:20:01
EURUSD,UP,07/01/22 10:25:01
EURUSD,UP,07/01/22 10:25:31
GBPUSD,DOWN,07/01/22 10:30:01
EURUSD,DOWN,07/01/22 10:34:31
USDJPY,UP,07/01/22 10:37:01
USDJPY,UP,07/01/22 10:37:31
GBPUSD,UP,07/01/22 10:47:32
USDJPY,UP,07/01/22 10:50:01
BTCUSD,DOWN,07/01/22 10:53:31
BTCUSD,UP,07/01/22 11:40:01
BTCUSD,UP,07/01/22 11:45:01
BTCUSD,UP,07/01/22 11:45:31
BTCUSD,DOWN,07/01/22 12:04:31
USDCHF,UP,07/01/22 12:16:31
BTCUSD,UP,07/01/22 12:18:31
BTCUSD,UP,07/01/22 12:19:01
EURUSD,UP,07/01/22 12:21:01
EURUSD,UP,07/01/22 12:21:31
EURUSD,UP,07/01/22 12:22:01
EURUSD,UP,07/01/22 12:22:31
EURUSD,UP,07/01/22 12:29:31
USDCHF,DOWN,07/01/22 12:29:31
EURUSD,UP,07/01/22 12:30:01
USDCHF,DOWN,07/01/22 12:30:01
BTCUSD,DOWN,07/01/22 12:35:01
EURUSD,DOWN,07/01/22 12:39:01
GBPUSD,DOWN,07/01/22 12:39:31
GBPUSD,DOWN,07/01/22 12:40:01
EURUSD,DOWN,07/01/22 12:42:01
GBPUSD,UP,07/01/22 12:52:01
GBPUSD,UP,07/01/22 12:52:31
USDJPY,DOWN,07/01/22 12:53:01
USDJPY,DOWN,07/01/22 12:53:31
USDJPY,DOWN,07/01/22 12:54:01
USDJPY,DOWN,07/01/22 12:54:31
USDJPY,DOWN,07/01/22 12:55:01
USDJPY,DOWN,07/01/22 12:55:31
EURUSD,UP,07/01/22 13:00:31
EURUSD,UP,07/01/22 13:01:01
USDCHF,DOWN,07/01/22 13:06:31
EURUSD,DOWN,07/01/22 13:14:01
USDCHF,UP,07/01/22 13:14:01
USDJPY,UP,07/01/22 13:14:31
USDCHF,UP,07/01/22 13:14:31
USDCHF,UP,07/01/22 13:15:01
USDCHF,UP,07/01/22 13:15:31
EURUSD,UP,07/01/22 13:30:31
USDCHF,DOWN,07/01/22 13:30:31
USDCHF,DOWN,07/01/22 13:33:31
USDCHF,DOWN,07/01/22 13:34:01
USDCHF,DOWN,07/01/22 13:34:31
BTCUSD,UP,07/01/22 13:42:31
USDJPY,DOWN,07/01/22 13:43:01
GBPUSD,DOWN,07/01/22 13:46:01
BTCUSD,UP,07/01/22 13:49:31
BTCUSD,UP,07/01/22 13:50:01
BTCUSD,UP,07/01/22 13:50:31
GBPUSD,UP,07/01/22 13:50:31
USDJPY,UP,07/01/22 13:51:01
BTCUSD,UP,07/01/22 13:51:01
USDCHF,DOWN,07/01/22 13:52:31
USDCHF,DOWN,07/01/22 13:53:01
USDJPY,DOWN,07/01/22 13:53:31
USDCHF,DOWN,07/01/22 13:53:31
GBPUSD,UP,07/01/22 13:54:01
USDJPY,DOWN,07/01/22 13:54:01
USDCHF,DOWN,07/01/22 13:54:01
USDJPY,DOWN,07/01/22 13:58:31
USDJPY,DOWN,07/01/22 13:59:01
EURUSD,DOWN,07/01/22 14:03:31
USDCHF,UP,07/01/22 14:03:31
EURUSD,DOWN,07/01/22 14:04:01
GBPUSD,DOWN,07/01/22 14:04:01
USDCHF,UP,07/01/22 14:04:01
GBPUSD,DOWN,07/01/22 14:04:31
EURUSD,DOWN,07/01/22 14:04:31
USDCHF,UP,07/01/22 14:04:31
GBPUSD,DOWN,07/01/22 14:05:01
GBPUSD,DOWN,07/01/22 14:09:31
GBPUSD,DOWN,07/01/22 14:10:01
GBPUSD,UP,07/01/22 14:17:31
BTCUSD,DOWN,07/01/22 14:20:01
BTCUSD,DOWN,07/01/22 14:20:31
BTCUSD,DOWN,07/01/22 14:21:01
USDJPY,DOWN,07/01/22 14:21:01
USDJPY,DOWN,07/01/22 14:21:31
USDCHF,UP,07/01/22 14:25:01
BTCUSD,DOWN,07/01/22 14:27:01
EURUSD,DOWN,07/01/22 14:32:01
GBPUSD,DOWN,07/01/22 14:35:01
USDJPY,UP,07/01/22 14:38:31
USDCHF,DOWN,07/01/22 14:58:31
USDJPY,UP,07/01/22 15:05:31
GBPUSD,UP,07/01/22 15:09:01
EURUSD,UP,07/01/22 15:10:32
EURUSD,UP,07/01/22 15:11:01
BTCUSD,UP,07/01/22 15:16:02
USDCHF,DOWN,07/01/22 15:20:01
USDCHF,DOWN,07/01/22 15:20:32
GBPUSD,UP,07/01/22 15:21:01
GBPUSD,UP,07/01/22 15:21:31
USDJPY,DOWN,07/01/22 15:22:01
EURUSD,DOWN,07/01/22 15:29:02
EURUSD,DOWN,07/01/22 15:29:31
GBPUSD,DOWN,07/01/22 15:30:01
EURUSD,UP,07/01/22 15:37:31
EURUSD,UP,07/01/22 15:38:01
EURUSD,UP,07/01/22 15:41:31
USDCHF,UP,07/01/22 15:43:31
EURUSD,DOWN,07/01/22 15:45:01
USDCHF,UP,07/01/22 15:54:31
USDCHF,UP,07/01/22 15:55:01
USDCHF,UP,07/01/22 15:55:31
USDCHF,UP,07/01/22 15:56:01
GBPUSD,DOWN,07/01/22 15:56:31
BTCUSD,UP,07/01/22 16:03:31
BTCUSD,UP,07/01/22 16:04:01
USDCHF,DOWN,07/01/22 16:12:31
USDCHF,DOWN,07/01/22 16:13:01
USDCHF,DOWN,07/01/22 16:13:32
USDCHF,UP,07/01/22 16:20:01
BTCUSD,DOWN,07/01/22 16:21:01
BTCUSD,DOWN,07/01/22 16:21:31
BTCUSD,DOWN,07/01/22 16:22:01
BTCUSD,UP,07/01/22 16:26:31
BTCUSD,UP,07/01/22 16:27:02
EURUSD,UP,07/01/22 16:32:01
EURUSD,UP,07/01/22 16:32:31
EURUSD,UP,07/01/22 16:33:01
GBPUSD,DOWN,07/01/22 16:35:31
USDCHF,UP,07/01/22 16:40:01
USDCHF,UP,07/01/22 16:40:31
